Name,Rating,Genre,Release date,Runtime,Director,Url
Total Recall,60.0,"Action,Science Fiction,Adventure,Thriller",08/03/2012 (US),2h 1m,Len Wiseman,https://www.themoviedb.org//movie/64635
The Martian,77.0,"Drama,Adventure,Science Fiction",10/02/2015 (IN),2h 24m,Ridley Scott,https://www.themoviedb.org//movie/286217
The Lion King 1½,66.0,"Family,Animation,Comedy",02/09/2004 (US),1h 17m,Bradley Raymond,https://www.themoviedb.org//movie/11430
Once Upon a Deadpool,71.0,"Comedy,Action",12/11/2018 (US),1h 57m,David Leitch,https://www.themoviedb.org//movie/567604
Kingsman: The Golden Circle,70.0,"Action,Adventure,Comedy,Crime,Thriller",09/22/2017 (IN),2h 21m,Matthew Vaughn,https://www.themoviedb.org//movie/343668
Crystal Skulls,47.0,"Adventure,Science Fiction",09/06/2014 (US),1h 28m,Todor Chapkanov,https://www.themoviedb.org//movie/291167
Scoob!,73.0,"Animation,Family,Comedy,Adventure",07/11/2020 (ES),1h 34m,Matt Lieberman,https://www.themoviedb.org//movie/385103
Never Back Down: No Surrender,70.0,"Drama,Action",06/05/2016 (RU),1h 41m,Michael Jai White,https://www.themoviedb.org//movie/391757
Guardians of the Galaxy,79.0,"Action,Science Fiction,Adventure",08/08/2014 (IN),2h 1m,James Gunn,https://www.themoviedb.org//movie/118340
American Pie Presents: Beta House,56.0,Comedy,12/10/2007 (US),1h 25m,Andrew Waller,https://www.themoviedb.org//movie/8277
Attack on Titan,58.0,"Horror,Fantasy,Action,Science Fiction",09/30/2015 (US),1h 38m,Shinji Higuchi,https://www.themoviedb.org//movie/295830
Seventh Son,55.0,"Adventure,Fantasy",01/29/2015 (IN),1h 42m,Sergei Bodrov,https://www.themoviedb.org//movie/68737
Creed,74.0,Drama,11/25/2015 (US),2h 13m,Ryan Coogler,https://www.themoviedb.org//movie/312221
Snowpiercer,69.0,"Action,Science Fiction,Drama",06/27/2014 (US),2h 7m,Bong Joon-ho,https://www.themoviedb.org//movie/110415
Batman Begins,77.0,"Action,Crime,Drama",06/17/2005 (IN),2h 20m,Christopher Nolan,https://www.themoviedb.org//movie/272
To All the Boys I've Loved Before,77.0,"Comedy,Romance",08/17/2018 (US),1h 40m,Susan Johnson,https://www.themoviedb.org//movie/466282
Nightcrawler,77.0,"Crime,Drama,Thriller",10/31/2014 (IN),1h 58m,Dan Gilroy,https://www.themoviedb.org//movie/242582
Final Destination,65.0,Horror,09/22/2000 (IN),1h 38m,James Wong,https://www.themoviedb.org//movie/9532
Scandalous Sex,71.0,Drama,01/01/2004 (US),1h 31m,Rex Ryder,https://www.themoviedb.org//movie/518244
Angela's Christmas Wish,63.0,"Animation,Family",12/01/2020 (US),47m,Damien O'Connor,https://www.themoviedb.org//movie/752455
Flavors of Youth,68.0,"Animation,Romance,Drama",08/04/2018 (CN),1h 14m,Xiaoxing Yi,https://www.themoviedb.org//movie/513347
