Name,Rating,Genre,Release date,Runtime,Director,Budget ($),Revenue ($) ,Url
Secret Magic Control Agency,72.0,"Animation,Comedy,Fantasy",03/18/2021 (RU),1h 44m,Alexey Tsitsilin,Language,-,https://www.themoviedb.org//movie/797394
The Lion Guard: Return of the Roar,65.0,"Family,TV Movie,Animation",11/22/2015 (US),44m,Howy Parkins,-,-,https://www.themoviedb.org//movie/359983
The A-Team,64.0,"Thriller,Action,Adventure,Comedy,Crime",06/11/2010 (US),1h 57m,Joe Carnahan,"$110,000,000.00","$177,238,796.00",https://www.themoviedb.org//movie/34544
Saint Seiya: Legend of Sanctuary,64.0,"Action,Animation,Fantasy",03/06/2015 (US),1h 33m,Keiichi Sato,Language,"$23,000,000.00",https://www.themoviedb.org//movie/287590
White Snake,78.0,"Romance,Animation,Fantasy",01/11/2019 (CN),1h 39m,Amp Wong,Language,"$11,936,735.00",https://www.themoviedb.org//movie/573699
Water and Fire,79.0,"Drama,Romance",11/15/2013 (TR),1h 53m,Özcan Deniz,Language,-,https://www.themoviedb.org//movie/271954
Trinity Seven 2: Heaven's Library & Crimson Lord,78.0,"Animation,Action,Fantasy,Comedy",03/29/2019 (JP),1h 1m,Hiroshi Nishikiori,Language,-,https://www.themoviedb.org//movie/570269
Aftermath,66.0,"Horror,Crime,Drama,Thriller",08/04/2021 (PL),1h 54m,Peter Winther,-,-,https://www.themoviedb.org//movie/763149
Bound by Honor,81.0,"Action,Crime,Drama,Thriller",02/05/1993 (US),3h 10m,Taylor Hackford,"$35,000,000.00",-,https://www.themoviedb.org//movie/9702
The Chronicles of Narnia: Prince Caspian,66.0,"Adventure,Family,Fantasy",05/16/2008 (US),2h 30m,Andrew Adamson,"$225,000,000.00","$419,665,568.00",https://www.themoviedb.org//movie/2454
Introducing Chucky: The Making of Child's Play,58.0,Documentary,11/09/1988 (US),6m,Greg Grosz,-,-,https://www.themoviedb.org//movie/706545
The Last Letter From Your Lover,75.0,"Drama,Romance",07/23/2021 (NZ),1h 50m,Augustine Frizzell,-,-,https://www.themoviedb.org//movie/638449
The Last Survivors,62.0,"Horror,Thriller,Action",06/12/2014 (US),1h 35m,Thomas S. Hammock,Language,-,https://www.themoviedb.org//movie/270771
Godzilla,62.0,"Action,Drama,Science Fiction",05/16/2014 (US),2h 3m,Gareth Edwards,"$160,000,000.00","$529,076,069.00",https://www.themoviedb.org//movie/124905
Tropic Thunder,66.0,"Action,Comedy,Adventure,War",08/13/2008 (US),1h 47m,Ben Stiller,"$92,000,000.00","$195,702,811.00",https://www.themoviedb.org//movie/7446
Now You See Me 2,68.0,"Thriller,Action,Comedy",06/10/2016 (US),2h 9m,Ed Solomon,"$90,000,000.00","$334,901,337.00",https://www.themoviedb.org//movie/291805
Annabelle: Creation,66.0,"Horror,Mystery,Thriller",08/15/2017 (IN),1h 49m,Gary Dauberman,"$15,000,000.00","$306,515,884.00",https://www.themoviedb.org//movie/396422
